Produttore,Vino,Media Grezza,Prezzo ,V Score,Q/P,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Cantina Valtidone,Gutturnio Riserva Bollo Rosso,2.2,15-19,0.57,11,3,sv,2,sv,2,2,2,sv,sv,sv,sv,sv
Cantina Valtidone,Gutturnio Classico Superiore 50 Vendemmie,2.2,15-19,0.65,13,sv,3,3,2,1,2,sv,sv,sv,sv,sv,sv
Casa Benna,Gutturnio Classico Punctatum Riserva,3.3,10-14,1.52,43,sv,sv,sv,2,sv,4,sv,4,sv,sv,sv,sv
Casa Benna,Gutturnio Classico Superiore Vidaro,2.4,5-9,0.73,36,sv,2,2,3,sv,3,2,sv,sv,sv,sv,sv
Il Poggiarello,Gutturnio Superiore Il Valandrea,3.0,10-14,0.24,07,sv,3,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Il Poggiarello,Gutturnio Superiore La Barbona,3.3,15-19,1.20,24,sv,sv,4,3,3,sv,sv,sv,sv,sv,sv,sv
La Ciocca,Gutturnio Superiore La Ciocca,3.0,10-14,0.24,07,3,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
La Tollara,Gutturnio Superiore,3.0,10-14,0.49,14,sv,sv,3,3,sv,sv,sv,sv,sv,sv,sv,sv
La Tosa,Gutturnio Superiore Terre Della Tosa,3.0,10-14,1.21,34,sv,3,3,3,3,3,sv,sv,sv,sv,sv,sv
La Tosa,Vignamorello,3.8,15-19,5.00,100,sv,5,3,3,3,5,sv,sv,sv,sv,sv,sv
Le Lame,Gutturnio Riserva La Gazza,5.0,15-19,2.14,43,sv,sv,sv,5,sv,sv,sv,sv,sv,sv,sv,sv
Luretta,Gutturnio Superiore,2.7,10-14,0.57,16,sv,sv,sv,sv,sv,3,2,3,sv,sv,sv,sv
Luretta,Gutturnio Superiore L Ala del Drago,2.3,15-19,0.57,11,sv,sv,sv,3,3,1,sv,2,sv,sv,sv,sv
Marengoni,Gutturnio Superiore Migliorina,2.6,10-14,0.89,25,3,sv,3,3,sv,2,2,sv,sv,sv,sv,sv
Marengoni,Gutturnio Farosa Riserva,2.5,15-19,0.65,13,sv,sv,sv,sv,3,2,sv,3,sv,2,sv,sv
Mossi 1558,Gutturnio Classico Superiore Impetuoso,2.0,5-9,0.08,04,sv,sv,2,sv,sv,sv,sv,sv,sv,sv,sv,sv
Torre Fornello,Gutturnio Superiore Sinsal,2.6,10-14,0.57,16,sv,sv,3,sv,3,sv,sv,2,sv,sv,sv,sv
Torre Fornello,Gutturnio Riserva Diacono Gerardo 1028,3.3,15-19,1.20,24,sv,sv,sv,sv,sv,sv,sv,sv,3,3,sv,4
Zerioli,Gutturnio Riserva Tenuta Pozzolo,3.5,10-14,0.96,27,sv,sv,sv,sv,sv,3,sv,sv,sv,4,sv,sv
Zerioli,Gutturnio Superiore I Noccioli,2.3,5-9,0.41,20,2,2,sv,sv,sv,sv,sv,sv,sv,sv,3,sv
